STATE OF CALIFORNIA,,,,,,,,,,,,
"p,p'-Oxybis(benzenesulfonyl hydrazide)  Delisted December 13, 2013 [Click here for the basis for delisting]",developmental ,LC,80-51-3,7-Aug-09,,,,,,,,
Oxydemeton methyl,"female, male ",AB,301-12-2,6-Nov-98,,,,,,,,
Oxymetholone ,cancer,SQE,434-07-1,1-Jan-88,,,,,,,,
Oxymetholone ,developmental ,FR,434-07-1,1-May-97,,,,,,,,
Oxytetracycline (internal use),developmental,FR,79-57-2,1-Jan-91,,,,,,,,
Oxytetracycline hydrochloride (internal use),developmental,FR,2058-46-0,1-Oct-91,,,,,,,,
Oxythioquinox (Chinomethionat),cancer ,AB,2439-01-2,20-Aug-99,,,,,,,,
Oxythioquinox (Chinomethionat),developmental ,AB,2439-01-2,6-Nov-98,,,,,,,,
,,,,,,,,,,,,
Paclitaxel,"developmental, female, male ",FR,33069-62-4,26-Aug-97,,,,,,,,
Palygorskite fibers (> 5µm in length),cancer ,AB,12174-11-7,28-Dec-99,,,,,,,,
Panfuran S,cancer,SQE,794-93-4,1-Jan-88,,,,,,,,
Paramethadione,developmental,FR,115-67-3,1-Jul-90,,,,,,,,
Parathion,cancer,LC,56-38-2,20-May-16,,,,,,,,
Penicillamine,developmental,FR,52-67-5,1-Jan-91,,,,,,,,
pentabromodiphenyl ether mixture [DE-71 (technical grade)],cancer,AB,---,7-Jul-17,,,,,,,,
Pentachlorophenol,cancer,AB,87-86-5,1-Jan-90,40,,,,,,,
Pentachlorophenol and by-products of its synthesis (complex mixture),cancer,AB,---,21-Oct-16,,,,,,,,
Pentobarbital sodium,developmental,FR,57-33-0,1-Jul-90,,,,,,,,
Pentosan polysulfate sodium,cancer,LC, ---,18-Apr-14,,,,,,,,
Pentostatin,developmental,FR,53910-25-1,1-Sep-96,,,,,,,,
Perfluorooctane sulfonate (PFOS),developmental,AB,1763-23-1,10-Nov-17,,,,,,,,
Perfluorooctanoic acid (PFOA),developmental,AB,335-67-1,10-Nov-17,,,,,,,,
Pertuzumab,developmental,FR,380610-27-5,27-Jan-17,,,,,,,,
Phenacemide,developmental,FR,63-98-9,1-Jul-90,,,,,,,,
Phenacetin,cancer,LC,62-44-2,1-Oct-89,300,,,,,,,
Phenazopyridine,cancer,SQE,94-78-0,1-Jan-88,4,,,,,,,
Phenazopyridine hydrochloride,cancer,SQE,136-40-3,1-Jan-88,5,,,,,,,
Phenesterin,cancer,SQE,3546-10-9,1-Jul-89,0.005,,,,,,,
Phenobarbital,cancer,AB,50-06-6,1-Jan-90,2,,,,,,,
Phenolphthalein,cancer  ,AB,77-09-8,15-May-98,,,,,,,,
Phenoxybenzamine,cancer,SQE,59-96-1,1-Apr-88,0.2,,,,,,,
Phenoxybenzamine hydrochloride,cancer,SQE,63-92-3,1-Apr-88,0.3,,,,,,,
Phenprocoumon,developmental,FR,435-97-2,1-Oct-92,,,,,,,,
o-Phenylenediamine and its salts,cancer ,AB,95-54-5,15-May-98,,,,,,,,
   o-Phenylenediamine,,,,,26,,,,,,,
   o-Phenylenediamine dihydrochloride,,,,,44,,,,,,,
Phenyl glycidyl ether,cancer,AB,122-60-1,1-Oct-90,5,,,,,,,
"Phenyl glycidyl ether   
Delisted April 4, 2014 [Click here  for the basis for delisting]",male ,LC,122-60-1,7-Aug-09,,,,,,,,
Phenylhydrazine and its salts,cancer,AB,---,1-Jul-92,,,,,,,,
   Phenylhydrazine,,,,,1,,,,,,,
   Phenylhydrazine hydrochloride,,,,,1.4,,,,,,,
"o-Phenylphenate, sodium",cancer,AB,132-27-4,1-Jan-90,200,,,,,,,
o-Phenylphenol,cancer,AB,90-43-7,4-Aug-00,,,,,,,,
"Phenylphosphine [Basis for listing changed effective June 6, 2014]",developmental male,LC SQE,638-21-1,7-Aug-09,,,,,,,,
"PhiP(2-Amino-1-methyl-6-phenylimidazol[4,5-b]pyridine)",cancer,AB,105650-23-5,1-Oct-94,,,,,,,,
Pimozide,"developmental, female ",FR,2062-78-4,20-Aug-99,,,,,,,,
Pioglitazone,cancer,LC,111025-46-8,18-Apr-14,,,,,,,,
Pipobroman,developmental,FR,54-91-1,1-Jul-90,,,,,,,,
Pirimicarb,cancer ,AB,23103-98-2,1-Jul-08,,,,,,,,
Plicamycin,developmental,FR,18378-89-7,1-Apr-90,,,,,,,,
Polybrominated biphenyls,cancer,SQE,---,1-Jan-88,0.02,,,,,,,
Polybrominated biphenyls,developmental,AB,---,1-Oct-94,,,,,,,,
Polychlorinated biphenyls,cancer,LC,---,1-Oct-89,0.09,,,,,,,
Polychlorinated biphenyls,developmental,SQE,---,1-Jan-91,,,,,,,,
Polychlorinated biphenyls (containing 60 or more percent chlorine by molecular weight),cancer,SQE,---,1-Jan-88,,,,,,,,
Polychlorinated dibenzo-p-dioxins,cancer,FR,---,1-Oct-92,,,,,,,,
Polychlorinated dibenzofurans,cancer,FR,---,1-Oct-92,,,,,,,,
Polygeenan,cancer,SQE,53973-98-1,1-Jan-88,1200,,,,,,,
Ponceau MX,cancer,SQE,3761-53-3,1-Apr-88,200,,,,,,,
Ponceau 3R,cancer,SQE,3564-09-8,1-Apr-88,40,,,,,,,
Potassium bromate,cancer,AB,7758-01-2,1-Jan-90,1,,,,,,,
Potassium dimethyldithiocarbamate,developmental ,AB,128-03-0,30-Mar-99,720,,,,,,,
Pravastatin sodium,developmental ,FR,81131-70-6,3-Mar-00,,,,,,,,
Prednisolone sodium phosphate,developmental ,FR,125-02-0,20-Aug-99,,,,,,,,
Primidone,cancer ,AB,125-33-7,20-Aug-99,,,,,,,,
Procarbazine,cancer,SQE,671-16-9,1-Jan-88,0.05,,,,,,,
Procarbazine hydrochloride,cancer,SQE,366-70-1,1-Jan-88,0.06,,,,,,,
Procarbazine hydrochloride,developmental,FR,366-70-1,1-Jul-90,,,,,,,,
Procymidone,cancer,AB,32809-16-8,1-Oct-94,,,,,,,,
Progesterone,cancer,SQE,57-83-0,1-Jan-88,,,,,,,,
Pronamide,cancer,AB,23950-58-5,1-May-96,,,,,,,,
Propachlor,cancer ,AB,1918-16-7,27-Feb-01,,,,,,,,
"1,3-Propane sultone",cancer,SQE,1120-71-4,1-Jan-88,0.3,,,,,,,
Propargite,cancer,AB,2312-35-8,1-Oct-94,,,,,,,,
Propargite,developmental ,AB,2312-35-8,15-Jun-99,,,,,,,,
Propazine,"developmental, female",AB,139-40-2,15-Jul-16,100 (oral),,,,,,,
beta-Propiolactone,cancer,SQE,57-57-8,1-Jan-88,0.05,,,,,,,
Propoxur,cancer ,AB,114-26-1,11-Aug-06,,,,,,,,
Propylene glycol mono-t-butyl ether,cancer ,AB,57018-52-7,11-Jun-04,,,,,,,,
Propylene oxide,cancer,SQE,75-56-9,1-Oct-88,,,,,,,,
Propylthiouracil,cancer,SQE,51-52-5,1-Jan-88,0.7,,,,,,,
Propylthiouracil,developmental,FR,51-52-5,1-Jul-90,,,,,,,,
Pulegone,cancer,LC,89-82-7,18-Apr-14,,,,,,,,
Pymetrozine,cancer,AB,123312-89-0,22-Mar-11,,,,,,,,
Pyridine,cancer,AB,110-86-1,17-May-02,,,,,,,,
Pyrimethamine,developmental ,FR,58-14-0,29-Jan-99,,,,,,,,
,,,,,,,,,,,,
Quazepam,developmental ,FR,36735-22-5,26-Aug-97,,,,,,,,
Quinoline and its strong acid salts,cancer,SQE,---,24-Oct-97,,,,,,,,
Quizalofop-ethyl,male ,SQE,76578-14-8,24-Dec-99,590,,,,,,,
,,,,,,,,,,,,
Radionuclides,cancer,SQE,---,1-Jul-89,,,,,,,,
Reserpine,cancer,LC,50-55-5,1-Oct-89,0.06,,,,,,,
Residual (heavy) fuel oils,cancer,AB,---,1-Oct-90,,,,,,,,
Resmethrin,cancer ,AB,10453-86-8,1-Jul-08,,,,,,,,
Resmethrin,developmental ,AB,10453-86-8,6-Nov-98,,,,,,,,
"Retinol/retinyl esters, when in daily dosages in excess of 10,000 IU, or 3,000 retinol equivalents.  (NOTE:  Retinol/retinyl esters are required and essential for maintenance of normal reproductive function.  The recommended daily level during pregnancy is 8,000 IU.)",developmental,SQE, ---,1-Jul-89,,,,,,,,
Ribavirin,developmental,FR,36791-04-5,1-Apr-90,,,,,,,,
Ribavirin,male ,FR,36791-04-5,27-Feb-01,,,,,,,,
Riddelliine,cancer ,LC,23246-96-0,3-Dec-04,,,,,,,,
Rifampin,"developmental, female ",FR,13292-46-1,27-Feb-01,,,,,,,,
,,,,,,,,,,,,
"Saccharin  Delisted April 6, 2001  [Click here for the basis for delisting]",cancer,LC,81-07-2,1-Oct-89,,,,,,,,
"Saccharin, sodium  Delisted January 17, 2003 [Click here for the basis for delisting]",cancer,SQE,128-44-9,1-Jan-88,,,,,,,,
Safrole,cancer,SQE,94-59-7,1-Jan-88,3,,,,,,,
"Salted fish, Chinese-style",cancer,LC, ---,29-Apr-11,,,,,,,,
Secobarbital sodium ,developmental,FR,309-43-3,1-Oct-92,,,,,,,,
Sedaxane,cancer,AB,874967-67-6,1-Jul-16,,,,,,,,
Selenium sulfide,cancer,LC,7446-34-6,1-Oct-89,,,,,,,,
Sermorelin acetate,developmental ,FR,---,20-Aug-99,,,,,,,,
Shale-oils,cancer,AB,68308-34-9,1-Apr-90,,,,,,,,
"Silica, crystalline (airborne particles of respirable size)",cancer,SQE,---,1-Oct-88,,,,,,,,
Simazine,"developmental, female",AB,122-34-9,15-Jul-16,100 (oral),,,,,,,
Sodium dimethyldithiocarbamate,developmental ,AB,128-04-1,30-Mar-99,"23 (oral)
58 (oral) as a 40% pesticidal formulation",,,,,,,
Sodium fluoroacetate,male ,AB,62-74-8,6-Nov-98,,,,,,,,
"Soots, tars, and mineral oils (untreated and mildly treated oils and used engine oils)",cancer,LC,---,27-Feb-87,,,,,,,,
Spirodiclofen,cancer,AB,148477-71-8,8-Oct-10,,,,,,,,
Spironolactone,cancer ,FR,52-01-7,1-May-97,,,,,,,,
Stanozolol,cancer ,FR,10418-03-8,1-May-97,,,,,,,,
Sterigmatocystin,cancer,SQE,10048-13-2,1-Apr-88,0.02,,,,,,,
Streptomycin sulfate,developmental,FR,3810-74-0,1-Jan-91,,,,,,,,
Streptozocin (streptozotocin),"developmental, female, male ",FR,18883-66-4,20-Aug-99,,,,,,,,
Streptozotocin (streptozocin),cancer,SQE,18883-66-4,1-Jan-88,0.006,,,,,,,
Strong inorganic acid mists containing sulfuric acid,cancer ,AB,---,14-Mar-03,,,,,,,,
Styrene,cancer,AB,100-42-5,22-Apr-16,27,,,,,,,
Styrene oxide,cancer,SQE,96-09-3,1-Oct-88,4,,,,,,,
Sulfallate,cancer,SQE,95-06-7,1-Jan-88,4,,,,,,,
Sulfasalazine (Salicylazosulfapyridine),cancer ,AB,599-79-1,15-May-98,,,,,,,,
Sulfasalazine (Salicylazosulfapyridine),male ,FR,599-79-1,29-Jan-99,,,,,,,,
Sulfur dioxidee,developmental,SQE,7446-09-5,29-Jul-11,10000,,,,,,,
Sulindac,"developmental, female ",FR,38194-50-2,29-Jan-99,,,,,,,,
,,,,,,,,,,,,
Talc containing asbestiform fibers,cancer,AB,---,1-Apr-90,,,,,,,,
Tamoxifen and its salts,cancer,SQE,10540-29-1,1-Sep-96,,,,,,,,
Tamoxifen citrate,developmental,FR,54965-24-1,1-Jul-90,,,,,,,,
Temazepam,developmental,FR,846-50-4,1-Apr-90,,,,,,,,
Teniposide,developmental,FR,29767-20-2,1-Sep-96,,,,,,,,
Terbacil,developmental ,AB,5902-51-2,18-May-99,,,,,,,,
Teriparatide,cancer,FR,52232-67-4,14-Aug-15,,,,,,,,
Terrazole,cancer,AB,2593-15-9,1-Oct-94,,,,,,,,
Testosterone and its esters,cancer,SQE,58-22-0,1-Apr-88,,,,,,,,
Testosterone cypionate,developmental,FR,58-20-8,1-Oct-91,,,,,,,,
Testosterone enanthate,developmental,FR,315-37-7,1-Apr-90,,,,,,,,
Tetrabromobisphenol A,cancer,LC,79-94-7,27-Oct-17,,,,,,,,
"3,3',4,4'-Tetrachloroazobenzene",cancer,AB,14047-09-7,24-Jul-12,,,,,,,,
"2,3,7,8-Tetrachlorodibenzo-p-dioxin (TCDD)",cancer,SQE,1746-01-6,1-Jan-88,0.000005,,,,,,,
"2,3,7,8-Tetrachlorodibenzo-p-dioxin (TCDD)",developmental,AB,1746-01-6,1-Apr-91,,,,,,,,
"1,1,1,2-Tetrachloroethane",cancer,LC,630-20-6,13-Sep-13,,,,,,,,
"1,1,2,2-Tetrachloroethane",cancer,AB,79-34-5,1-Jul-90,3,,,,,,,
Tetrachloroethylene (Perchloroethylene),cancer,SQE,127-18-4,1-Apr-88,14,,,,,,,
"p-a,a,a-Tetrachlorotoluene",cancer,AB,5216-25-1,1-Jan-90,,,,,,,,
Tetrachlorvinphos,cancer,LC,22248-79-9,20-May-16,,,,,,,,
Tetracycline (internal use),developmental,FR,60-54-8,1-Oct-91,,,,,,,,
Tetracyclines (internal use),developmental,FR,---,1-Oct-92,,,,,,,,
Tetracycline hydrochloride (internal use),developmental,FR,64-75-5,1-Jan-91,,,,,,,,
Tetrafluoroethylene,cancer,AB,116-14-3,1-May-97,,,,,,,,
Tetranitromethane,cancer,AB,509-14-8,1-Jul-90,0.059,,,,,,,
Thalidomide,developmental,SQE,50-35-1,1-Jul-87,,,,,,,,
Thioacetamide,cancer,SQE,62-55-5,1-Jan-88,0.1,,,,,,,
"4,4'-Thiodianiline",cancer,SQE,139-65-1,1-Apr-88,0.05,,,,,,,
Thiodicarb,cancer ,AB,59669-26-0,20-Aug-99,,,,,,,,
Thioguanine,developmental,FR,154-42-7,1-Jul-90,,,,,,,,
Thiophanate methyl,"female, male ",AB,23564-05-8,18-May-99,600 (oral),,,,,,,
Thiouracil,cancer , ,141-90-2,11-Jun-04,,,,,,,,
Thiourea,cancer,SQE,62-56-6,1-Jan-88,10,,,,,,,
Thorium dioxide,cancer,LC,1314-20-1,27-Feb-87,,,,,,,,
"Titanium dioxide (airborne, unbound particles of respirable size)",cancer,LC, ---,2-Sep-11,,,,,,,,
"Tobacco, oral use of smokeless products",cancer,SQE,---,1-Apr-88,,,,,,,,
Tobacco smoke,cancer,SQE,---,1-Apr-88,,,,,,,,
Tobacco smoke (primary),"developmental, female, male",SQE,---,1-Apr-88,,,,,,,,
Tobramycin sulfate,developmental,FR,49842-07-1,1-Jul-90,,,,,,,,
Toluene,developmental,SQE,108-88-3,1-Jan-91,7000c,,,,,,,
"Toluene [Click here for the basis for the removal of female reproductive endpoint effective March 7, 2014]",female ,LC,108-88-3,7-Aug-09,,,,,,,,
Toluene diisocyanate,cancer,LC,26471-62-5,1-Oct-89,20,,,,,,,
o-Toluidine,cancer,SQE,95-53-4,1-Jan-88,4,,,,,,,
o-Toluidine hydrochloride,cancer,SQE,636-21-5,1-Jan-88,5,,,,,,,
"para-Toluidine  Delisted October 29, 1999 [Click here for the basis for delisting]",cancer,AB,106-49-0,1-Jan-90,,,,,,,,
Topiramate,developmental,FR,97240-79-4,27-Nov-15,,,,,,,,
Toxaphene (Polychlorinated camphenes),cancer,SQE,8001-35-2,1-Jan-88,0.6,,,,,,,
Toxins derived from Fusarium moniliforme (Fusarium verticillioides),cancer ,LC,  ---,7-Aug-09,,,,,,,,
Treosulfan,cancer,LC,299-75-2,27-Feb-87,,,,,,,,
Triadimefon,"developmental, female, male ",AB,43121-43-3,30-Mar-99,,,,,,,,
Triamterene,cancer,LC,396-01-0,18-Apr-14,,,,,,,,
Triazolam,developmental,FR,28911-01-5,1-Apr-90,,,,,,,,
"S,S,S-Tributyl phosphorotrithioate (Tribufos, DEF)",cancer,AB,78-48-8,25-Feb-11,,,,,,,,
Tributyltin methacrylate,developmental ,AB,2155-70-6,1-Dec-99,,,,,,,,
Trichlormethine (Trimustine hydrochloride),cancer,AB,817-09-4,1-Jan-92,,,,,,,,
Trichloroacetic acid,cancer,LC,76-03-9,13-Sep-13,,,,,,,,
Trichloroethylene,cancer,SQE,79-01-6,1-Apr-88,"14 (oral) 
50 (inhalation)",,,,,,,
Trichloroethylene,"developmental, male",AB,79-01-6,31-Jan-14,,,,,,,,
"2,4,6-Trichlorophenol",cancer,SQE,88-06-2,1-Jan-88,10,,,,,,,
"1,2,3-Trichloropropane",cancer,AB,96-18-4,1-Oct-92,,,,,,,,
Trientine hydrochloride,developmental ,FR,38260-01-4,27-Feb-01,,,,,,,,
Triforine,developmental ,AB,26644-46-2,18-Jun-99,,,,,,,,
"1,3,5-Triglycidyl-s-triazinetrione  Delisted December 13, 2013 [Click here for the basis for delisting]",male ,LC,2451-62-9,7-Aug-09,,,,,,,,
Trilostane,developmental,FR,13647-35-3,1-Apr-90,,,,,,,,
Trimethadione,developmental,FR,127-48-0,1-Jan-91,,,,,,,,
"2,4,5-Trimethylaniline and its strong acid salts",cancer ,SQE,---,24-Oct-97,,,,,,,,
Trimethyl phosphate,cancer,AB,512-56-1,1-May-96,24,,,,,,,
Trimetrexate glucuronate,developmental ,FR,82952-64-5,26-Aug-97,,,,,,,,
TRIM® VX,cancer,AB,---,25-May-18,,,,,,,,
"2,4,6-Trinitrotoluene (TNT)",cancer ,SQE,118-96-7,19-Dec-08,8.2,,,,,,,
Triphenyltin hydroxide,cancer,AB,76-87-9,1-Jul-92,,,,,,,,
Triphenyltin hydroxide,developmental ,AB,76-87-9,18-Mar-02,,,,,,,,
"Tris(aziridinyl)-p-benzoquinone (Triaziquone) Delisted December 8, 2006 [Click here for the basis for delisting]",cancer,LC,68-76-8,1-Oct-89,,,,,,,,
Tris(1-aziridinyl)phosphine sulfide (Thiotepa),cancer,SQE,52-24-4,1-Jan-88,0.06,,,,,,,
Tris(2-chloroethyl) phosphate,cancer,AB,115-96-8,1-Apr-92,,,,,,,,
"Tris(2,3-dibromopropyl)phosphate",cancer,SQE,126-72-7,1-Jan-88,0.3,,,,,,,
"Tris(1,3-dichloro-2-propyl) phosphate (TDCPP)",cancer,SQE,13674-87-8,28-Oct-11,5.4,,,,,,,
Trp-P-1 (Tryptophan-P-1),cancer,SQE,62450-06-0,1-Apr-88,0.03,,,,,,,
Trp-P-2 (Tryptophan-P-2),cancer,SQE,62450-07-1,1-Apr-88,0.2,,,,,,,
Trypan blue (commercial grade),cancer,LC,72-57-1,1-Oct-89,,,,,,,,
,,,,,,,,,,,,
Unleaded gasoline (wholly vaporized),cancer,SQE,---,1-Apr-88,,,,,,,,
Uracil mustard,cancer,SQE,66-75-1,1-Apr-88,,,,,,,,
Uracil mustard,"developmental, female, male",FR,66-75-1,1-Jan-92,,,,,,,,
Urethane (Ethyl carbamate),cancer,SQE,51-79-6,1-Jan-88,0.7,,,,,,,
Urethane (Ethyl carbamate),developmental,AB,51-79-6,1-Oct-94,,,,,,,,
Urofollitropin,developmental,FR,97048-13-0,1-Apr-90,,,,,,,,
,,,,,,,,,,,,
Valproate (Valproic acid),developmental,SQE,99-66-1,1-Jul-87,,,,,,,,
Vanadium pentoxide (orthorhombic crystalline form),cancer ,AB,1314-62-1,11-Feb-05,,,,,,,,
Vinblastine sulfate,developmental,FR,143-67-9,1-Jul-90,,,,,,,,
"Vinclozolin [basis for listing changed on November 16, 2006]",cancer ,SQE,50471-44-8,20-Aug-99,,,,,,,,
Vinclozolin,developmental ,AB,50471-44-8,15-May-98,,,,,,,,
Vincristine sulfate,developmental,FR,2068-78-2,1-Jul-90,,,,,,,,
Vinyl bromide,cancer,SQE,593-60-2,1-Oct-88,,,,,,,,
Vinyl chloride,cancer,LC,75-01-4,27-Feb-87,3,,,,,,,
4-Vinylcyclohexene,cancer,AB,100-40-3,1-May-96,,,,,,,,
"4-Vinylcyclohexene [Click here for the basis for the removal of male reproductive endpoint, effective December 20, 2013 ]","female, male ",SQE,100-40--3,7-Aug-09,,,,,,,,
4-Vinyl-1-cyclohexene diepoxide (Vinyl cyclohexenedioxide),cancer,AB,106-87-6,1-Jul-90,,,,,,,,
"Vinyl cyclohexene dioxide (4-Vinyl-1-cyclohexene diepoxide) [Click here for the basis for the removal of male reproductive endpoint, effective December 20, 2013]","female, male ",SQE,106-87-6,1-Aug-08,,,,,,,,
Vinyl fluoride,cancer,AB,75-02-5,1-May-97,,,,,,,,
"Vinylidene chloride 
(1,1-Dichloroethylene)",cancer,LC,75-35-4,29-Dec-17,0.88,,,,,,,
"Vinyl trichloride (1,1,2-Trichloroethane)",cancer,AB,79-00-5,1-Oct-90,10,,,,,,,
Vismodegib,"developmental, female, male",FR,879085-55-9,27-Jan-17,,,,,,,,
,,,,,,,,,,,,
Warfarin,developmental,SQE,81-81-2,1-Jul-87,,,,,,,,
Wood dust,cancer ,LC, ---,18-Dec-09,,,,,,,,
,,,,,,,,,,,,
"2,6-Xylidine (2,6-Dimethylaniline)",cancer,AB,87-62-7,1-Jan-91,110,,,,,,,
,,,,,,,,,,,,
Zalcitabine,cancer ,LC,7481-89-2,7-Aug-09,,,,,,,,
Zidovudine (AZT),cancer ,LC,30516-87-1,18-Dec-09,,,,,,,,
Zileuton ,"cancer, developmental, female",FR,111406-87-2,22-Dec-00,,,,,,,,
"Zineb  Delisted October 29, 1999 [Click here for the basis for delisting]",cancer,AB,12122-67-7,1-Jan-90,,,,,,,,
"a Where a source or product results in exposures by multiple routes, the total exposure must be considered.  For example, the MADL for benzene is exceeded when the absorbed dose exceeds 24 µg/day.  If only inhalation and oral exposure occurs, the benzene MADL is exceeded when:  (oral dose ÷ 24 µg/day) + (inhalation dose ÷ 49 µg/day) > 1.0.",,,,,,,,,,,,
b Levels for male children and adolescents were calculated by application of the default bodyweights specified in Section 25703(a)(8) to the procedure specified in Sections 25801 and 25803,,,,,,,,,,,,
"c Level represents absorbed dose (rounded from 6,525 µg/day ).  Since 100% of ingested toluene is absorbed, oral dose is equivalent to administered dose.  It is assumed that roughly 50% of the dose administered by the inhalation route is absorbed.  Therefore the MADL for inhaled toluene is 13,000 µg/day (rounded from 13,050 µg/day ), corresponding to an absorbed dose of 6,525 µg/day.",,,,,,,,,,,,
"d Butyl benzyl phthalate MADL was adopted June 25, 2013, but pursuant to Government Code section 11343.4 it becomes effective October 1, 2013.",,,,,,,,,,,,
"e Sulfur dioxide MADL was adopted July 11, 2013, but pursuant to Government Code section 11343.4 it becomes effective October 1, 2013.",,,,,,,,,,,,
"f Hydrogen cyanide and cyanide salts MADLs were adopted on August 7, 2013, but pursuant to Government Code section 11343.4 they become effective October 1, 2013.",,,,,,,,,,,,
,,,,,,,,,,,,
